replicate	reference_component	replicate_component	matched	signed_similarity	absolute_similarity	orientation	assignment_margin	index_recurrent	proposal_rank	rank_one	nominated_reference
46	3	3	TRUE	0.900161873694229	0.900161873694229	1	0.869841596037949	TRUE	3	FALSE	FALSE
47	1	1	TRUE	0.999703529747232	0.999703529747232	1	0.978099745637823	TRUE	1	TRUE	TRUE
47	2	2	TRUE	-0.995752345217518	0.995752345217518	-1	0.91963078981949	TRUE	2	FALSE	FALSE
47	3	3	TRUE	0.982005023209809	0.982005023209809	1	0.91502593506181	TRUE	3	FALSE	FALSE
48	1	1	TRUE	0.980579635188499	0.980579635188499	1	0.796573864492925	TRUE	1	TRUE	TRUE
48	2	2	TRUE	-0.98114911219173	0.98114911219173	-1	0.794481261802178	TRUE	2	FALSE	FALSE
48	3	3	TRUE	-0.958479951426041	0.958479951426041	-1	0.898673157365881	TRUE	3	FALSE	FALSE
49	1	1	TRUE	0.990935343387353	0.990935343387353	1	0.856902296655957	TRUE	1	TRUE	TRUE
49	2	2	TRUE	0.98199562018074	0.98199562018074	1	0.848441052559385	TRUE	3	FALSE	FALSE
49	3	3	TRUE	-0.335388488705105	0.335388488705105	-1	0.230359261726777	TRUE	2	FALSE	FALSE
50	1	1	TRUE	0.995930734764572	0.995930734764572	1	0.91379611114161	TRUE	1	TRUE	TRUE
50	2	2	TRUE	0.991935583525426	0.991935583525426	1	0.907164662880695	TRUE	2	FALSE	FALSE
50	3	3	TRUE	0.996206512059527	0.996206512059527	1	0.911748244536887	TRUE	3	FALSE	FALSE
51	1	1	TRUE	0.979153318616867	0.979153318616867	1	0.786632763687653	TRUE	1	TRUE	TRUE
51	2	2	TRUE	0.980863480488602	0.980863480488602	1	0.788633016684086	TRUE	2	FALSE	FALSE
51	3	3	TRUE	-0.948451179791085	0.948451179791085	-1	0.883366392432455	TRUE	3	FALSE	FALSE
52	1	1	TRUE	0.990761071223884	0.990761071223884	1	0.865634401424584	TRUE	1	TRUE	TRUE
52	2	2	TRUE	-0.980122043477629	0.980122043477629	-1	0.83145199243732	TRUE	2	FALSE	FALSE
52	3	3	TRUE	0.931222991502055	0.931222991502055	1	0.784822502277282	TRUE	3	FALSE	FALSE
53	1	1	TRUE	0.981233258680529	0.981233258680529	1	0.795027019511288	TRUE	1	TRUE	TRUE
53	2	2	TRUE	0.979967983767766	0.979967983767766	1	0.791508527795564	TRUE	3	FALSE	FALSE
53	3	3	TRUE	-0.979957223868872	0.979957223868872	-1	0.910885843593675	TRUE	2	FALSE	FALSE
54	1	1	TRUE	0.956134874930848	0.956134874930848	1	0.668340793177131	TRUE	1	TRUE	TRUE
54	2	2	TRUE	-0.956903527135797	0.956903527135797	-1	0.66750098920673	TRUE	2	FALSE	FALSE
54	3	3	TRUE	0.998838460310007	0.998838460310007	1	0.964346787689413	TRUE	3	FALSE	FALSE
55	1	1	TRUE	0.993648508552891	0.993648508552891	1	0.886902473394265	TRUE	1	TRUE	TRUE
55	2	2	TRUE	0.992710171507361	0.992710171507361	1	0.885065696281487	TRUE	2	FALSE	FALSE
55	3	3	TRUE	0.936731418615778	0.936731418615778	1	0.881461531359858	TRUE	3	FALSE	FALSE
56	1	1	TRUE	0.961682005535146	0.961682005535146	1	0.691794322972529	TRUE	1	TRUE	TRUE
56	2	2	TRUE	0.958808909364833	0.958808909364833	1	0.685871150087594	TRUE	3	FALSE	FALSE
56	3	3	TRUE	0.9971807765658	0.9971807765658	1	0.926402328548104	TRUE	2	FALSE	FALSE
57	1	1	TRUE	0.999424018246534	0.999424018246534	1	0.969360311499354	TRUE	1	TRUE	TRUE
57	2	2	TRUE	-0.986243313449839	0.986243313449839	-1	0.854336096104159	TRUE	3	FALSE	FALSE
57	3	3	TRUE	0.962777092710702	0.962777092710702	1	0.812542736337592	TRUE	2	FALSE	FALSE
58	1	1	TRUE	0.985026637233062	0.985026637233062	1	0.823671425118965	TRUE	1	TRUE	TRUE
58	2	2	TRUE	0.974353617304443	0.974353617304443	1	0.805762479382464	TRUE	3	FALSE	FALSE
58	3	3	TRUE	-0.98775891914918	0.98775891914918	-1	0.836087760668755	TRUE	2	FALSE	FALSE
59	1	1	TRUE	0.96270456322891	0.96270456322891	1	0.692322870239419	TRUE	1	TRUE	TRUE
59	2	2	TRUE	0.960243942547132	0.960243942547132	1	0.689860816129788	TRUE	3	FALSE	FALSE
59	3	3	TRUE	0.997414604275399	0.997414604275399	1	0.928202402284735	TRUE	2	FALSE	FALSE
60	1	1	TRUE	0.992382880452674	0.992382880452674	1	0.871462860077145	TRUE	1	TRUE	TRUE
60	2	2	TRUE	-0.990138179719653	0.990138179719653	-1	0.867886747565319	TRUE	2	FALSE	FALSE
60	3	3	TRUE	0.994723215718818	0.994723215718818	1	0.93721566719053	TRUE	3	FALSE	FALSE
61	1	1	TRUE	0.93866641382049	0.93866641382049	1	0.600730209541871	TRUE	1	TRUE	TRUE
61	2	2	TRUE	0.936630480240327	0.936630480240327	1	0.594314746808672	TRUE	2	FALSE	FALSE
61	3	3	TRUE	-0.921020720527134	0.921020720527134	-1	0.844996541838579	TRUE	3	FALSE	FALSE
62	1	1	TRUE	0.999146575060936	0.999146575060936	1	0.988224345137257	TRUE	1	TRUE	TRUE
62	2	2	TRUE	0.99864484262513	0.99864484262513	1	0.949955856783515	TRUE	2	FALSE	FALSE
62	3	3	TRUE	-0.975528245034097	0.975528245034097	-1	0.931589136165061	TRUE	3	FALSE	FALSE
63	1	1	TRUE	0.949615454554744	0.949615454554744	1	0.64404014804942	TRUE	1	TRUE	TRUE
63	2	2	TRUE	-0.951915655290037	0.951915655290037	-1	0.645973311113195	TRUE	3	FALSE	FALSE
